item,detection error rate %,total,false alarm,false alarm %,miss,miss %
BER_7758_038460_038580.rttm,1303.89,3.60,45.83,1273.06,1.11,30.83
C01_20170706_002040_002100.rttm,1397.66,2.14,29.51,1378.97,0.40,18.69
C01_20170706_005640_005700.rttm,100.00,0.00,10.47,,0.00,
C01_20170706_009240_009300.rttm,100.00,0.00,1.62,,0.00,
C01_20170706_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_023640_023700.rttm,100.00,0.00,0.80,,0.00,
C01_20170706_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_052440_052500.rttm,8233.33,0.18,14.64,8133.33,0.18,100.00
C01_20170706_056040_056100.rttm,100.00,0.00,42.67,,0.00,
C01_20170718_002040_002100.rttm,100.00,0.00,6.66,,0.00,
C01_20170718_005640_005700.rttm,100.00,0.00,4.13,,0.00,
C01_20170718_009240_009300.rttm,362.30,0.61,1.60,262.30,0.61,100.00
C01_20170718_012840_012900.rttm,100.00,0.00,1.70,,0.00,
C01_20170718_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_023640_023700.rttm,100.00,0.00,6.41,,0.00,
C01_20170718_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_030840_030900.rttm,100.00,0.00,2.60,,0.00,
C01_20170718_034440_034500.rttm,118.69,2.14,1.78,83.18,0.76,35.51
C01_20170718_038040_038100.rttm,100.00,0.00,0.80,,0.00,
C01_20170718_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_002040_002100.rttm,190.62,0.96,0.87,90.62,0.96,100.00
C04_20170707_005640_005700.rttm,100.00,0.00,0.80,,0.00,
C04_20170707_009240_009300.rttm,1291.30,0.69,8.39,1215.94,0.52,75.36
C04_20170707_012840_012900.rttm,1703.81,1.05,17.18,1636.19,0.71,67.62
C04_20170707_016440_016500.rttm,100.00,0.00,17.08,,0.00,
C04_20170707_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_027240_027300.rttm,1026.42,0.53,5.31,1001.89,0.13,24.53
C04_20170707_030840_030900.rttm,100.00,0.00,15.82,,0.00,
C04_20170707_034440_034500.rttm,174.74,2.89,2.16,74.74,2.89,100.00
C04_20170707_038040_038100.rttm,100.00,0.00,2.59,,0.00,
C04_20170707_041640_041700.rttm,100.00,0.00,1.00,,0.00,
C04_20170707_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_002040_002100.rttm,100.00,0.00,1.79,,0.00,
C09_20170708_005640_005700.rttm,765.22,0.69,5.28,765.22,0.00,0.00
C09_20170708_009240_009300.rttm,936.25,0.80,6.69,836.25,0.80,100.00
C09_20170708_012840_012900.rttm,9380.00,0.05,4.64,9280.00,0.05,100.00
C09_20170708_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_020040_020100.rttm,100.00,0.00,14.41,,0.00,
C09_20170708_023640_023700.rttm,100.00,0.00,29.63,,0.00,
C09_20170708_027240_027300.rttm,260.35,2.85,5.17,181.40,2.25,78.95
C09_20170708_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_002040_002100.rttm,100.00,0.00,32.46,,0.00,
C10_20170709_005640_005700.rttm,100.00,0.00,58.97,,0.00,
C10_20170709_009240_009300.rttm,100.00,0.00,10.90,,0.00,
C10_20170709_012840_012900.rttm,100.00,0.00,47.99,,0.00,
C10_20170709_016440_016500.rttm,100.00,0.00,15.41,,0.00,
C10_20170709_020040_020100.rttm,647.30,0.74,4.05,547.30,0.74,100.00
C10_20170709_023640_023700.rttm,100.00,0.00,18.18,,0.00,
C10_20170709_027240_027300.rttm,100.00,0.00,19.66,,0.00,
C10_20170709_030840_030900.rttm,100.00,0.00,3.27,,0.00,
C10_20170709_034440_034500.rttm,1185.92,0.71,7.71,1085.92,0.71,100.00
C10_20170709_038040_038100.rttm,100.00,0.00,12.48,,0.00,
C10_20170709_041640_041700.rttm,100.00,0.00,1.44,,0.00,
C10_20170709_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_052440_052500.rttm,100.00,0.22,0.00,0.00,0.22,100.00
C11_20170709_002040_002100.rttm,288.03,4.51,9.40,208.43,3.59,79.60
C11_20170709_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_009240_009300.rttm,100.00,0.00,51.18,,0.00,
C11_20170709_012840_012900.rttm,100.00,0.00,10.08,,0.00,
C11_20170709_016440_016500.rttm,2940.32,0.62,17.61,2840.32,0.62,100.00
C11_20170709_020040_020100.rttm,100.00,0.00,6.27,,0.00,
C11_20170709_023640_023700.rttm,100.00,0.00,22.62,,0.00,
C11_20170709_027240_027300.rttm,100.00,0.00,0.46,,0.00,
C11_20170709_030840_030900.rttm,100.00,0.00,8.70,,0.00,
C11_20170709_034440_034500.rttm,100.00,0.00,14.81,,0.00,
C11_20170709_038040_038100.rttm,100.00,0.00,44.80,,0.00,
C11_20170709_041640_041700.rttm,100.00,0.00,42.49,,0.00,
C11_20170709_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_002040_002100.rttm,100.00,0.00,1.66,,0.00,
C11_20170718_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_020040_020100.rttm,100.00,0.00,1.09,,0.00,
C11_20170718_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_048840_048900.rttm,100.00,0.00,4.29,,0.00,
C11_20170718_052440_052500.rttm,2828.57,0.42,11.88,2828.57,0.00,0.00
C11_20170718_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_002040_002100.rttm,100.00,0.00,4.12,,0.00,
C12_20170709_005640_005700.rttm,416.17,1.67,5.94,355.69,1.01,60.48
C12_20170709_009240_009300.rttm,100.00,0.00,45.11,,0.00,
C12_20170709_012840_012900.rttm,1867.74,0.31,5.48,1767.74,0.31,100.00
C12_20170709_016440_016500.rttm,426.55,1.13,4.82,426.55,0.00,0.00
C12_20170709_020040_020100.rttm,100.00,0.00,0.91,,0.00,
C12_20170709_023640_023700.rttm,100.00,0.00,4.01,,0.00,
C12_20170709_027240_027300.rttm,100.00,0.00,11.72,,0.00,
C12_20170709_030840_030900.rttm,100.00,0.00,1.61,,0.00,
C12_20170709_034440_034500.rttm,941.43,0.70,5.89,841.43,0.70,100.00
C12_20170709_038040_038100.rttm,99.14,2.32,0.79,34.05,1.51,65.09
C12_20170709_041640_041700.rttm,100.00,0.00,56.24,,0.00,
C15_20170710_002040_002100.rttm,155.17,1.45,1.33,91.72,0.92,63.45
C15_20170710_005640_005700.rttm,623.42,1.11,5.81,523.42,1.11,100.00
C15_20170710_009240_009300.rttm,1111.72,1.45,15.80,1089.66,0.32,22.07
C16_20170710_002040_002100.rttm,100.00,0.00,3.30,,0.00,
C16_20170710_005640_005700.rttm,100.00,0.01,0.00,0.00,0.01,100.00
C16_20170710_009240_009300.rttm,501.96,0.51,2.05,401.96,0.51,100.00
C16_20170710_012840_012900.rttm,1953.85,0.13,2.41,1853.85,0.13,100.00
C16_20170710_016440_016500.rttm,100.00,0.00,6.68,,0.00,
C16_20170710_020040_020100.rttm,134.22,1.87,1.73,92.51,0.78,41.71
C16_20170710_023640_023700.rttm,203.80,0.79,0.82,103.80,0.79,100.00
C16_20170710_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_030840_030900.rttm,100.00,0.00,2.28,,0.00,
C18_20170711_002040_002100.rttm,6697.50,0.40,26.79,6697.50,0.00,0.00
C18_20170711_005640_005700.rttm,100.00,0.00,2.02,,0.00,
C18_20170711_009240_009300.rttm,380.00,0.35,0.98,280.00,0.35,100.00
C18_20170711_012840_012900.rttm,3653.33,0.15,5.33,3553.33,0.15,100.00
C18_20170711_016440_016500.rttm,100.00,1.19,0.00,0.00,1.19,100.00
C18_20170711_020040_020100.rttm,100.00,2.32,0.00,0.00,2.32,100.00
C18_20170711_023640_023700.rttm,199.79,4.74,6.23,131.43,3.24,68.35
C18_20170711_027240_027300.rttm,177800.00,0.02,35.54,177700.00,0.02,100.00
C18_20170711_030840_030900.rttm,194.83,0.58,1.08,186.21,0.05,8.62
C18_20170711_034440_034500.rttm,100.00,0.00,5.16,,0.00,
C18_20170711_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_045240_045300.rttm,100.00,0.00,0.81,,0.00,
C18_20170711_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_002040_002100.rttm,100.00,1.26,0.00,0.00,1.26,100.00
C18_20170718_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_045240_045300.rttm,207.37,3.53,4.95,140.23,2.37,67.14
C18_20170718_048840_048900.rttm,448.65,1.85,6.91,373.51,1.39,75.14
C18_20170718_052440_052500.rttm,525.14,1.83,8.50,464.48,1.11,60.66
C18_20170718_056040_056100.rttm,100.00,0.00,51.35,,0.00,
C20_20170711_002040_002100.rttm,3355.10,0.49,15.95,3255.10,0.49,100.00
C20_20170711_005640_005700.rttm,1288.00,1.50,17.82,1188.00,1.50,100.00
C20_20170711_009240_009300.rttm,291.97,4.73,13.22,279.49,0.59,12.47
C20_20170711_012840_012900.rttm,429.03,2.79,10.22,366.31,1.75,62.72
C20_20170711_016440_016500.rttm,100.00,0.00,18.49,,0.00,
C20_20170711_020040_020100.rttm,1870.83,0.48,8.88,1850.00,0.10,20.83
C20_20170711_023640_023700.rttm,100.00,0.00,41.43,,0.00,
C20_20170711_027240_027300.rttm,100.00,0.00,30.21,,0.00,
C20_20170711_030840_030900.rttm,1078.68,1.36,14.24,1047.06,0.43,31.62
C20_20170711_034440_034500.rttm,100.00,0.00,33.66,,0.00,
C20_20170711_038040_038100.rttm,100.00,0.00,36.64,,0.00,
C20_20170711_041640_041700.rttm,100.00,0.00,55.35,,0.00,
C20_20170711_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_002040_002100.rttm,1202.44,0.82,9.70,1182.93,0.16,19.51
C22_20170717_005640_005700.rttm,383.93,0.56,1.83,326.79,0.32,57.14
C22_20170717_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_045240_045300.rttm,100.00,0.00,1.87,,0.00,
C22_20170717_048840_048900.rttm,166.95,2.39,1.60,66.95,2.39,100.00
C22_20170717_052440_052500.rttm,100.00,0.00,11.42,,0.00,
C22_20170717_056040_056100.rttm,1666.30,0.92,15.09,1640.22,0.24,26.09
C24_20170712_002040_002100.rttm,4913.64,0.22,10.74,4881.82,0.07,31.82
C24_20170712_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_020040_020100.rttm,100.00,0.10,0.00,0.00,0.10,100.00
C24_20170712_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_030840_030900.rttm,100.00,0.00,4.52,,0.00,
C24_20170712_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_002040_002100.rttm,516.98,0.53,2.21,416.98,0.53,100.00
C24_20170719_005640_005700.rttm,8287.50,0.16,13.10,8187.50,0.16,100.00
C24_20170719_009240_009300.rttm,100.00,0.00,6.41,,0.00,
C24_20170719_012840_012900.rttm,100.00,0.00,0.80,,0.00,
C24_20170719_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_020040_020100.rttm,100.00,0.00,27.69,,0.00,
C24_20170719_023640_023700.rttm,4266.67,0.96,40.53,4221.87,0.43,44.79
C24_20170719_027240_027300.rttm,8668.42,0.19,16.28,8568.42,0.19,100.00
C24_20170719_030840_030900.rttm,585.60,2.57,12.54,487.94,2.51,97.67
C24_20170719_034440_034500.rttm,2251.61,0.31,6.67,2151.61,0.31,100.00
C24_20170719_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_002040_002100.rttm,1114.29,1.05,11.10,1057.14,0.60,57.14
C25_20170719_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_009240_009300.rttm,817.00,1.00,7.58,758.00,0.59,59.00
C25_20170719_012840_012900.rttm,100.00,0.00,15.81,,0.00,
C25_20170719_016440_016500.rttm,152.96,2.53,2.50,98.81,1.37,54.15
C25_20170719_020040_020100.rttm,100.00,0.00,43.42,,0.00,
C25_20170719_023640_023700.rttm,561.48,4.18,22.01,526.56,1.46,34.93
C25_20170719_027240_027300.rttm,789.61,3.08,22.27,723.05,2.05,66.56
C25_20170719_030840_030900.rttm,2617.86,0.28,7.05,2517.86,0.28,100.00
C25_20170719_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_038040_038100.rttm,100.00,0.00,2.98,,0.00,
C25_20170719_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_048840_048900.rttm,100.00,0.00,8.61,,0.00,
C25_20170719_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_056040_056100.rttm,100.00,0.00,6.79,,0.00,
ROW_1156_001980_002100.rttm,91.72,15.34,0.74,4.82,13.33,86.90
ROW_1156_010140_010260.rttm,301.24,7.24,18.33,253.18,3.48,48.07
ROW_1156_011580_011700.rttm,2298.08,0.52,11.90,2288.46,0.05,9.62
ROW_1156_013140_013260.rttm,183.61,19.04,23.42,123.00,11.54,60.61
ROW_1156_019680_019800.rttm,1498.42,4.42,63.76,1442.53,2.47,55.88
ROW_1156_022260_022380.rttm,708.77,1.71,11.32,661.99,0.80,46.78
ROW_1156_025800_025920.rttm,100.00,0.00,45.13,,0.00,
ROW_1156_034500_034620.rttm,374.56,12.58,39.41,313.28,7.71,61.29
ROW_1156_034860_034980.rttm,129.70,35.66,30.34,85.08,15.91,44.62
ROW_1156_038220_038340.rttm,8687.18,0.39,33.87,8684.62,0.01,2.56
ROW_1156_040020_040140.rttm,0.00,0.00,0.00,,0.00,
ROW_1156_043020_043140.rttm,0.00,0.00,0.00,,0.00,
ROW_1156_046020_046140.rttm,0.00,0.00,0.00,,0.00,
ROW_1156_048600_048720.rttm,0.00,0.00,0.00,,0.00,
ROW_1156_054300_054420.rttm,0.00,0.00,0.00,,0.00,
ROW_1735_001920_002040.rttm,3728.00,0.50,18.14,3628.00,0.50,100.00
ROW_1735_010020_010140.rttm,100.00,0.00,2.75,,0.00,
ROW_1735_015060_015180.rttm,301.12,10.75,24.17,224.84,8.20,76.28
ROW_1735_016800_016920.rttm,326.17,8.56,23.98,280.14,3.94,46.03
ROW_1735_017160_017280.rttm,203.11,6.76,7.21,106.66,6.52,96.45
ROW_1735_021480_021600.rttm,11449.44,0.89,101.88,11447.19,0.02,2.25
ROW_1735_030120_030240.rttm,48585.71,0.07,33.94,48485.71,0.07,100.00
ROW_1735_031260_031380.rttm,415.49,2.97,10.58,356.23,1.76,59.26
ROW_1735_032340_032460.rttm,366.94,2.45,6.54,266.94,2.45,100.00
ROW_1735_039120_039240.rttm,566.54,2.57,12.82,498.83,1.74,67.70
ROW_1735_040620_040740.rttm,90.16,13.52,2.82,20.86,9.37,69.30
ROW_1735_041520_041640.rttm,0.00,0.00,0.00,,0.00,
ROW_1735_044820_044940.rttm,0.00,0.00,0.00,,0.00,
