item,detection precision %,retrieved,relevant retrieved
SOD_9527_001980_002100.rttm,72.30,65.53,47.38
SOD_9527_003660_003780.rttm,67.85,44.73,30.35
SOD_9527_004800_004920.rttm,65.56,98.93,64.86
SOD_9527_007920_008040.rttm,62.28,51.56,32.11
SOD_9527_008340_008460.rttm,56.70,25.15,14.26
SOD_9527_010320_010440.rttm,0.00,1.37,0.00
SOD_9527_012060_012180.rttm,100.00,0.00,0.00
SOD_9527_013920_014040.rttm,100.00,0.00,0.00
SOD_9527_020460_020580.rttm,65.59,48.16,31.59
SOD_9527_025620_025740.rttm,55.54,30.50,16.94
SOD_9527_027240_027360.rttm,46.35,42.09,19.51
SOD_9527_032760_032880.rttm,77.88,23.37,18.20
SOD_9527_042300_042420.rttm,19.86,37.16,7.38
SOD_9527_048900_049020.rttm,100.00,0.00,0.00
SOD_9527_049500_049620.rttm,100.00,0.00,0.00
SOD_9854_003120_003240.rttm,68.26,34.03,23.23
SOD_9854_007380_007500.rttm,79.06,21.35,16.88
SOD_9854_010740_010860.rttm,31.29,21.32,6.67
SOD_9854_011460_011580.rttm,70.98,69.22,49.13
SOD_9854_012060_012180.rttm,64.77,52.71,34.14
SOD_9854_013260_013380.rttm,73.51,53.22,39.12
SOD_9854_015780_015900.rttm,69.48,23.26,16.16
SOD_9854_019380_019500.rttm,38.23,70.32,26.88
SOD_9854_020880_021000.rttm,57.23,53.92,30.86
SOD_9854_021900_022020.rttm,25.95,104.57,27.14
SOD_9854_024300_024420.rttm,100.00,0.00,0.00
SOD_9854_027480_027600.rttm,100.00,0.00,0.00
SOD_9854_028320_028440.rttm,0.00,41.70,0.00
SOD_9854_030060_030180.rttm,57.98,103.11,59.78
SOD_9854_032340_032460.rttm,76.54,36.23,27.73
SOD_9858_002580_002700.rttm,68.58,26.64,18.27
SOD_9858_003360_003480.rttm,0.00,30.51,0.00
SOD_9858_004740_004860.rttm,51.11,19.43,9.93
SOD_9858_008520_008640.rttm,100.00,0.00,0.00
SOD_9858_009600_009720.rttm,42.99,2.21,0.95
SOD_9858_011520_011640.rttm,100.00,0.00,0.00
SOD_9858_012660_012780.rttm,0.00,1.68,0.00
SOD_9858_012960_013080.rttm,0.00,1.60,0.00
SOD_9858_013800_013920.rttm,100.00,0.00,0.00
SOD_9858_015660_015780.rttm,100.00,0.00,0.00
SOD_9858_017040_017160.rttm,88.43,76.83,67.94
SOD_9858_018240_018360.rttm,70.68,50.41,35.63
