item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
SOD_3634_004860_004980.rttm,154.03,51.76,5.24,10.13,33.21,64.16,14.44,27.90,32.08,61.97
SOD_3634_007260_007380.rttm,100.00,0.00,0.00,,65.00,,0.00,,0.00,
SOD_3634_010860_010980.rttm,283.36,16.42,2.20,13.38,32.31,196.74,2.11,12.87,12.11,73.75
SOD_3634_017520_017640.rttm,81.31,95.41,29.98,31.42,12.14,12.73,9.81,10.28,55.63,58.30
SOD_3634_022140_022260.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_022620_022740.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_023040_023160.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_023940_024060.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_024540_024660.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_025320_025440.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_026100_026220.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_028140_028260.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_3634_033000_033120.rttm,245.77,21.19,11.18,52.73,42.07,198.50,0.25,1.20,9.76,46.07
SOD_3634_036120_036240.rttm,345.14,16.44,4.15,25.24,44.44,270.38,2.59,15.73,9.70,59.03
SOD_4483_002100_002220.rttm,100.27,32.63,14.81,45.40,14.90,45.67,6.03,18.48,11.79,36.12
SOD_4483_002700_002820.rttm,104.29,53.95,22.46,41.63,24.77,45.92,5.61,10.40,25.88,47.97
SOD_4483_003120_003240.rttm,134.56,28.63,5.85,20.45,15.75,55.00,17.30,60.44,5.47,19.11
SOD_4483_003420_003540.rttm,103.62,48.17,1.16,2.40,2.90,6.02,38.91,80.78,8.10,16.82
SOD_4483_003780_003900.rttm,100.00,0.00,0.00,,4.15,,0.00,,0.00,
SOD_4483_004200_004320.rttm,103.23,80.72,1.15,1.42,3.75,4.65,76.62,94.91,2.96,3.67
SOD_4483_004560_004680.rttm,98.39,103.88,2.55,2.45,0.87,0.84,87.20,83.94,14.13,13.61
SOD_4483_004860_004980.rttm,90.23,79.17,10.12,12.78,2.38,3.01,63.45,80.15,5.59,7.07
SOD_4483_004980_005100.rttm,93.06,67.62,6.05,8.95,1.36,2.01,55.65,82.29,5.92,8.76
SOD_4483_005280_005400.rttm,56.11,31.75,22.21,69.93,8.27,26.04,5.49,17.30,4.05,12.77
SOD_4483_005460_005580.rttm,156.88,21.16,7.55,35.69,19.58,92.57,3.76,17.77,9.85,46.54
SOD_4483_005760_005880.rttm,66.15,66.03,30.56,46.28,8.21,12.44,21.61,32.73,13.86,20.99
SOD_4483_006120_006240.rttm,80.96,45.84,23.99,52.34,15.26,33.30,7.10,15.50,14.74,32.17
SOD_4483_006240_006360.rttm,57.89,71.10,48.89,68.76,18.95,26.65,2.68,3.76,19.54,27.48
SOD_4483_006600_006720.rttm,88.27,45.21,15.71,34.75,10.40,23.01,20.93,46.28,8.58,18.97
SOD_4736_004440_004560.rttm,100.00,0.00,0.00,,40.44,,0.00,,0.00,
SOD_4736_005760_005880.rttm,100.00,0.00,0.00,,52.37,,0.00,,0.00,
SOD_4736_008940_009060.rttm,100.00,0.00,0.00,,39.79,,0.00,,0.00,
SOD_4736_009720_009840.rttm,100.00,0.00,0.00,,35.80,,0.00,,0.00,
SOD_4736_011220_011340.rttm,100.00,0.00,0.00,,15.72,,0.00,,0.00,
SOD_4736_013800_013920.rttm,163.70,23.75,0.00,0.00,15.13,63.70,21.22,89.32,2.54,10.68
SOD_4736_016920_017040.rttm,6194.63,0.71,0.00,0.00,43.15,6094.63,0.71,100.00,0.00,0.00
SOD_4736_018360_018480.rttm,100.00,0.00,0.00,,76.30,,0.00,,0.00,
SOD_4736_018780_018900.rttm,6709.21,1.32,0.00,0.00,87.51,6609.21,0.00,0.00,1.32,100.00
SOD_4736_020280_020400.rttm,100.00,0.00,0.00,,69.34,,0.00,,0.00,
SOD_4736_023580_023700.rttm,100.00,0.00,0.00,,106.11,,0.00,,0.00,
SOD_4736_025740_025860.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_4736_026460_026580.rttm,100.00,0.00,0.00,,1.22,,0.00,,0.00,
SOD_4736_029520_029640.rttm,100.00,0.00,0.00,,51.35,,0.00,,0.00,
SOD_4736_033120_033240.rttm,100.00,0.00,0.00,,14.52,,0.00,,0.00,
SOD_8445_006660_006780.rttm,574.96,1.13,0.00,0.00,5.39,474.96,0.03,2.65,1.10,97.35
SOD_8445_011700_011820.rttm,111.15,50.61,6.88,13.60,12.53,24.75,11.60,22.91,32.13,63.48
SOD_8445_012900_013020.rttm,108.57,64.11,22.28,34.76,27.78,43.33,1.88,2.94,39.94,62.30
SOD_8445_015660_015780.rttm,100.00,0.00,0.00,,44.44,,0.00,,0.00,
SOD_8445_017580_017700.rttm,81.80,67.71,16.85,24.89,4.52,6.68,37.06,54.74,13.80,20.37
SOD_8445_019980_020100.rttm,218.71,45.79,13.32,29.09,67.67,147.80,0.00,0.00,32.47,70.91
SOD_8445_021960_022080.rttm,89.55,81.09,14.04,17.31,5.56,6.86,20.26,24.98,46.80,57.71
SOD_8445_023880_024000.rttm,213.58,11.02,4.97,45.09,17.49,158.67,5.35,48.50,0.71,6.41
SOD_8445_027600_027720.rttm,148.32,46.82,9.26,19.78,31.88,68.10,14.64,31.26,22.92,48.96
SOD_8445_029040_029160.rttm,133.98,48.87,11.69,23.92,28.30,57.90,7.88,16.13,29.29,59.94
SOD_8445_038220_038340.rttm,241.85,35.57,6.18,17.38,56.64,159.22,0.95,2.67,28.44,79.96
SOD_8445_039000_039120.rttm,391.50,21.82,5.54,25.41,69.15,316.91,0.46,2.11,15.82,72.48
SOD_8445_044340_044460.rttm,54.87,91.01,58.98,64.81,17.90,19.67,1.00,1.10,31.03,34.09
SOD_8445_048120_048240.rttm,118.91,30.72,6.35,20.68,12.16,39.60,9.55,31.10,14.81,48.22
SOD_8445_049380_049500.rttm,166.68,33.30,8.13,24.42,30.34,91.10,9.59,28.80,15.58,46.78
SOD_8924_002400_002520.rttm,77.39,41.35,17.48,42.27,8.13,19.66,2.30,5.56,21.57,52.16
SOD_8924_006360_006480.rttm,92.96,50.13,17.18,34.27,13.65,27.23,1.02,2.03,31.93,63.69
SOD_8924_007140_007260.rttm,91.80,72.13,15.83,21.95,9.92,13.75,11.85,16.43,44.45,61.62
SOD_8924_012780_012900.rttm,502.57,23.72,0.00,0.00,95.48,402.57,0.00,0.00,23.72,100.00
SOD_8924_013560_013680.rttm,100.00,0.00,0.00,,115.36,,0.00,,0.00,
SOD_8924_014820_014940.rttm,312.79,31.85,0.00,0.00,67.77,212.79,0.00,0.00,31.85,100.00
SOD_8924_015720_015840.rttm,100.00,0.00,0.00,,1.04,,0.00,,0.00,
SOD_8924_017160_017280.rttm,42.18,86.20,51.82,60.12,1.98,2.30,26.36,30.58,8.02,9.30
SOD_8924_017340_017460.rttm,41.58,78.41,48.89,62.36,3.09,3.94,9.44,12.04,20.07,25.60
SOD_8924_018240_018360.rttm,92.50,87.81,14.18,16.15,7.60,8.65,39.75,45.27,33.88,38.58
SOD_8924_018720_018840.rttm,146.06,56.28,4.36,7.75,30.29,53.81,37.51,66.64,14.41,25.60
