item,detection precision %,retrieved,relevant retrieved
SOD_1499_021660_021780.rttm,98.89,8.08,7.99
SOD_1499_023040_023160.rttm,96.78,22.02,21.31
SOD_1499_024300_024420.rttm,54.20,1.31,0.71
SOD_1499_025740_025860.rttm,94.33,2.82,2.66
SOD_1499_027540_027660.rttm,98.93,2.80,2.77
SOD_3542_003120_003240.rttm,94.16,71.24,67.08
SOD_3542_003900_004020.rttm,73.90,24.60,18.18
SOD_3542_004920_005040.rttm,90.38,56.77,51.31
SOD_3542_005220_005340.rttm,96.55,44.89,43.34
SOD_3542_006060_006180.rttm,97.82,12.39,12.12
SOD_3542_006360_006480.rttm,89.74,31.10,27.91
SOD_3542_010080_010200.rttm,82.69,3.35,2.77
SOD_3542_010500_010620.rttm,98.16,7.59,7.45
SOD_3542_011580_011700.rttm,93.83,29.65,27.82
SOD_3542_015540_015660.rttm,96.94,17.31,16.78
SOD_3542_017220_017340.rttm,77.13,4.46,3.44
SOD_3542_018180_018300.rttm,79.24,71.62,56.75
SOD_3542_019020_019140.rttm,81.08,18.39,14.91
SOD_3542_020700_020820.rttm,87.16,18.69,16.29
SOD_3542_021480_021600.rttm,100.00,0.00,0.00
SOD_3634_004260_004380.rttm,100.00,0.00,0.00
SOD_3634_004860_004980.rttm,77.35,3.09,2.39
SOD_3634_007260_007380.rttm,100.00,0.00,0.00
SOD_3634_010860_010980.rttm,83.99,3.06,2.57
SOD_3634_017520_017640.rttm,96.83,31.50,30.50
SOD_3634_022140_022260.rttm,100.00,0.00,0.00
SOD_3634_022620_022740.rttm,100.00,0.00,0.00
SOD_3634_023040_023160.rttm,100.00,0.00,0.00
SOD_3634_023940_024060.rttm,100.00,0.00,0.00
SOD_3634_024540_024660.rttm,100.00,0.00,0.00
SOD_3634_025320_025440.rttm,100.00,0.00,0.00
SOD_3634_026100_026220.rttm,100.00,0.00,0.00
SOD_3634_028140_028260.rttm,100.00,0.00,0.00
SOD_3634_033000_033120.rttm,84.06,13.30,11.18
SOD_3634_036120_036240.rttm,24.25,32.49,7.88
SOD_4483_002100_002220.rttm,69.65,24.81,17.28
SOD_4483_002700_002820.rttm,81.27,34.38,27.94
SOD_4483_003120_003240.rttm,49.97,16.49,8.24
SOD_4483_003420_003540.rttm,63.39,3.66,2.32
SOD_4483_003780_003900.rttm,100.00,0.00,0.00
SOD_4483_004200_004320.rttm,49.30,2.13,1.05
SOD_4483_004560_004680.rttm,87.36,11.39,9.95
SOD_4483_004860_004980.rttm,84.22,8.05,6.78
SOD_4483_004980_005100.rttm,77.95,11.52,8.98
SOD_4483_005280_005400.rttm,88.00,26.91,23.68
SOD_4483_005460_005580.rttm,48.26,20.93,10.10
SOD_4483_005760_005880.rttm,85.62,49.17,42.10
SOD_4483_006120_006240.rttm,79.79,41.16,32.84
SOD_4483_006240_006360.rttm,81.32,76.38,62.11
SOD_4483_006600_006720.rttm,83.25,19.82,16.50
SOD_4736_004440_004560.rttm,0.00,7.82,0.00
SOD_4736_005760_005880.rttm,0.00,15.50,0.00
SOD_4736_008940_009060.rttm,0.00,26.51,0.00
SOD_4736_009720_009840.rttm,0.00,33.15,0.00
SOD_4736_011220_011340.rttm,0.00,6.08,0.00
SOD_4736_013800_013920.rttm,5.77,12.14,0.70
SOD_4736_016920_017040.rttm,0.00,29.60,0.00
SOD_4736_018360_018480.rttm,0.00,21.29,0.00
SOD_4736_018780_018900.rttm,0.00,20.91,0.00
SOD_4736_020280_020400.rttm,0.00,49.39,0.00
SOD_4736_023580_023700.rttm,0.00,1.07,0.00
SOD_4736_025740_025860.rttm,100.00,0.00,0.00
SOD_4736_026460_026580.rttm,100.00,0.00,0.00
SOD_4736_029520_029640.rttm,0.00,4.00,0.00
SOD_4736_033120_033240.rttm,100.00,0.00,0.00
SOD_8445_006660_006780.rttm,33.03,2.21,0.73
SOD_8445_011700_011820.rttm,70.51,16.04,11.31
SOD_8445_012900_013020.rttm,87.04,45.38,39.50
SOD_8445_015660_015780.rttm,100.00,0.00,0.00
SOD_8445_017580_017700.rttm,93.38,20.53,19.17
SOD_8445_019980_020100.rttm,69.03,21.83,15.07
SOD_8445_021960_022080.rttm,93.12,54.38,50.64
SOD_8445_023880_024000.rttm,70.85,7.41,5.25
SOD_8445_027600_027720.rttm,93.06,8.21,7.64
SOD_8445_029040_029160.rttm,82.63,18.19,15.03
SOD_8445_038220_038340.rttm,98.04,8.16,8.00
SOD_8445_039000_039120.rttm,30.02,22.12,6.64
SOD_8445_044340_044460.rttm,86.23,86.83,74.87
SOD_8445_048120_048240.rttm,77.61,9.11,7.07
SOD_8445_049380_049500.rttm,88.06,10.22,9.00
SOD_8924_002400_002520.rttm,81.73,33.99,27.78
SOD_8924_006360_006480.rttm,82.47,55.17,45.50
SOD_8924_007140_007260.rttm,91.69,43.21,39.62
SOD_8924_012780_012900.rttm,100.00,0.00,0.00
SOD_8924_013560_013680.rttm,100.00,0.00,0.00
SOD_8924_014820_014940.rttm,100.00,0.00,0.00
SOD_8924_015720_015840.rttm,100.00,0.00,0.00
SOD_8924_017160_017280.rttm,97.04,56.09,54.43
SOD_8924_017340_017460.rttm,96.96,52.71,51.11
SOD_8924_018240_018360.rttm,88.58,27.49,24.35
SOD_8924_018720_018840.rttm,70.38,8.34,5.87
SOD_8924_019500_019620.rttm,82.08,28.13,23.09
SOD_8924_023400_023520.rttm,80.22,19.82,15.90
SOD_8924_024480_024600.rttm,78.20,25.82,20.19
SOD_8924_028020_028140.rttm,90.73,30.21,27.41
SOD_9527_001980_002100.rttm,87.01,38.48,33.48
SOD_9527_003660_003780.rttm,87.64,21.68,19.00
SOD_9527_004800_004920.rttm,94.36,37.74,35.61
SOD_9527_007920_008040.rttm,77.12,25.22,19.45
SOD_9527_008340_008460.rttm,76.05,10.02,7.62
SOD_9527_010320_010440.rttm,100.00,0.00,0.00
SOD_9527_012060_012180.rttm,100.00,0.00,0.00
SOD_9527_013920_014040.rttm,100.00,0.00,0.00
SOD_9527_020460_020580.rttm,90.87,18.08,16.43
SOD_9527_025620_025740.rttm,67.92,9.82,6.67
SOD_9527_027240_027360.rttm,75.58,13.31,10.06
SOD_9527_032760_032880.rttm,100.00,5.88,5.88
SOD_9527_042300_042420.rttm,46.80,14.85,6.95
SOD_9527_048900_049020.rttm,100.00,0.00,0.00
SOD_9527_049500_049620.rttm,100.00,0.00,0.00
SOD_9854_003120_003240.rttm,78.63,27.00,21.23
SOD_9854_007380_007500.rttm,79.44,20.33,16.15
SOD_9854_010740_010860.rttm,30.48,19.52,5.95
SOD_9854_011460_011580.rttm,72.95,59.92,43.71
SOD_9854_012060_012180.rttm,79.26,25.55,20.25
SOD_9854_013260_013380.rttm,80.85,42.35,34.24
SOD_9854_015780_015900.rttm,74.39,19.64,14.61
SOD_9854_019380_019500.rttm,100.00,3.54,3.54
SOD_9854_020880_021000.rttm,86.26,18.99,16.38
SOD_9854_021900_022020.rttm,100.00,0.00,0.00
SOD_9854_024300_024420.rttm,100.00,0.00,0.00
SOD_9854_027480_027600.rttm,100.00,0.00,0.00
SOD_9854_028320_028440.rttm,0.00,1.00,0.00
SOD_9854_030060_030180.rttm,96.22,15.89,15.29
SOD_9854_032340_032460.rttm,80.75,18.91,15.27
SOD_9858_002580_002700.rttm,73.38,22.20,16.29
SOD_9858_003360_003480.rttm,0.00,15.03,0.00
SOD_9858_004740_004860.rttm,76.75,7.44,5.71
SOD_9858_008520_008640.rttm,100.00,0.00,0.00
SOD_9858_009600_009720.rttm,42.99,2.21,0.95
SOD_9858_011520_011640.rttm,100.00,0.00,0.00
SOD_9858_012660_012780.rttm,100.00,0.00,0.00
SOD_9858_012960_013080.rttm,100.00,0.00,0.00
SOD_9858_013800_013920.rttm,100.00,0.00,0.00
SOD_9858_015660_015780.rttm,100.00,0.00,0.00
SOD_9858_017040_017160.rttm,89.74,49.24,44.19
SOD_9858_018240_018360.rttm,89.88,26.38,23.71
SOD_9858_021360_021480.rttm,100.00,0.00,0.00
SOD_9858_022020_022140.rttm,82.06,21.41,17.57
SOD_9858_023100_023220.rttm,90.96,3.32,3.02
WAR_1130_002640_002760.rttm,89.34,54.30,48.51
WAR_1130_003000_003120.rttm,93.77,67.26,63.07
WAR_1130_004380_004500.rttm,61.12,11.06,6.76
WAR_1130_007080_007200.rttm,97.12,34.41,33.42
WAR_1130_009120_009240.rttm,71.70,21.45,15.38
WAR_1130_011220_011340.rttm,76.36,5.71,4.36
WAR_1130_013260_013380.rttm,89.58,81.48,72.99
WAR_1130_021960_022080.rttm,93.89,1.80,1.69
WAR_1130_022980_023100.rttm,100.00,0.00,0.00
WAR_1130_023580_023700.rttm,66.44,54.11,35.95
WAR_1130_026400_026520.rttm,80.48,12.09,9.73
WAR_1130_027660_027780.rttm,91.82,42.81,39.31
WAR_1130_037140_037260.rttm,81.99,42.54,34.88
WAR_1130_039420_039540.rttm,100.00,0.00,0.00
WAR_1130_040080_040200.rttm,100.00,0.00,0.00
WAR_2535_004380_004500.rttm,73.23,24.43,17.89
WAR_2535_006840_006960.rttm,100.00,0.00,0.00
WAR_2535_009720_009840.rttm,83.58,64.05,53.53
WAR_2535_010920_011040.rttm,80.55,23.24,18.72
WAR_2535_012600_012720.rttm,85.08,69.63,59.24
WAR_2535_013320_013440.rttm,72.65,10.86,7.89
WAR_2535_014940_015060.rttm,60.95,4.61,2.81
WAR_2535_018660_018780.rttm,100.00,0.00,0.00
WAR_2535_025740_025860.rttm,92.64,39.66,36.74
WAR_2535_032640_032760.rttm,95.92,27.19,26.08
WAR_2535_034500_034620.rttm,92.60,27.84,25.78
WAR_2535_035640_035760.rttm,89.60,16.25,14.56
WAR_2535_036960_037080.rttm,92.86,31.39,29.15
WAR_2535_038400_038520.rttm,88.73,37.09,32.91
WAR_2535_045660_045780.rttm,44.41,17.81,7.91
WAR_3090_010980_011100.rttm,39.94,30.27,12.09
WAR_3090_016320_016440.rttm,60.20,4.95,2.98
WAR_3090_020820_020940.rttm,39.57,1.87,0.74
WAR_3090_021120_021240.rttm,75.78,11.56,8.76
WAR_3090_027060_027180.rttm,68.68,36.85,25.31
WAR_3090_030780_030900.rttm,0.00,1.01,0.00
WAR_3090_031860_031980.rttm,100.00,0.00,0.00
WAR_3090_032340_032460.rttm,100.00,0.00,0.00
WAR_3090_034200_034320.rttm,0.00,6.62,0.00
WAR_3090_037080_037200.rttm,30.54,16.01,4.89
WAR_3090_043920_044040.rttm,50.45,52.75,26.61
WAR_3090_046980_047100.rttm,75.25,40.56,30.52
WAR_3090_047700_047820.rttm,76.38,35.61,27.20
WAR_3090_048720_048840.rttm,76.75,47.66,36.58
WAR_3090_055920_056040.rttm,81.66,85.10,69.49
WAR_3528_003060_003180.rttm,79.43,23.43,18.61
WAR_3528_006600_006720.rttm,80.06,49.99,40.02
WAR_3528_007680_007800.rttm,58.81,9.59,5.64
WAR_3528_012000_012120.rttm,100.00,0.00,0.00
WAR_3528_015360_015480.rttm,100.00,0.00,0.00
WAR_3528_018480_018600.rttm,100.00,0.00,0.00
WAR_3528_023100_023220.rttm,100.00,0.00,0.00
WAR_3528_028920_029040.rttm,51.67,0.60,0.31
WAR_3528_030600_030720.rttm,100.00,0.00,0.00
WAR_3528_045720_045840.rttm,100.00,0.00,0.00
WAR_3528_047940_048060.rttm,100.00,0.00,0.00
WAR_3528_049920_050040.rttm,100.00,0.00,0.00
WAR_3528_050400_050520.rttm,100.00,0.00,0.00
WAR_3528_054960_055080.rttm,100.00,0.00,0.00
WAR_3528_056340_056460.rttm,100.00,0.00,0.00
WAR_4995_002820_002940.rttm,70.32,44.31,31.16
WAR_4995_005100_005220.rttm,60.00,1.20,0.72
WAR_4995_007080_007200.rttm,86.58,36.06,31.22
WAR_4995_007440_007560.rttm,82.28,44.75,36.82
WAR_4995_012660_012780.rttm,69.66,18.49,12.88
WAR_4995_017580_017700.rttm,66.34,19.37,12.85
WAR_4995_019500_019620.rttm,66.30,27.24,18.06
WAR_4995_020340_020460.rttm,67.24,12.82,8.62
WAR_4995_023160_023280.rttm,70.35,15.28,10.75
WAR_4995_026280_026400.rttm,80.25,23.54,18.89
WAR_4995_026700_026820.rttm,92.28,88.76,81.91
WAR_4995_027300_027420.rttm,100.00,0.00,0.00
WAR_4995_029760_029880.rttm,100.00,0.00,0.00
WAR_4995_032760_032880.rttm,100.00,0.00,0.00
WAR_4995_033120_033240.rttm,84.41,1.86,1.57
WAR_5613_007800_007920.rttm,100.00,0.00,0.00
WAR_5613_015240_015360.rttm,74.17,17.85,13.24
WAR_5613_017820_017940.rttm,94.67,12.00,11.36
WAR_5613_020040_020160.rttm,89.41,40.99,36.65
WAR_5613_028560_028680.rttm,90.67,33.33,30.22
WAR_5613_029700_029820.rttm,100.00,0.00,0.00
WAR_5613_030540_030660.rttm,88.45,39.38,34.83
WAR_5613_031980_032100.rttm,100.00,0.00,0.00
WAR_5613_033000_033120.rttm,75.00,35.16,26.37
WAR_5613_034620_034740.rttm,92.74,71.38,66.20
WAR_5613_038820_038940.rttm,92.24,37.35,34.45
WAR_5613_044400_044520.rttm,100.00,1.14,1.14
WAR_5613_053760_053880.rttm,91.87,34.93,32.09
WAR_5613_056520_056640.rttm,100.00,0.00,0.00
WAR_5613_057240_057360.rttm,100.00,0.00,0.00
WAR_5959_003960_004080.rttm,77.38,26.21,20.28
WAR_5959_004920_005040.rttm,30.00,1.20,0.36
WAR_5959_008520_008640.rttm,100.00,0.00,0.00
WAR_5959_012240_012360.rttm,82.00,17.39,14.26
WAR_5959_012840_012960.rttm,85.35,57.28,48.89
WAR_5959_018300_018420.rttm,87.83,10.68,9.38
WAR_5959_021960_022080.rttm,77.58,19.94,15.47
WAR_5959_022920_023040.rttm,100.00,0.00,0.00
WAR_5959_025800_025920.rttm,85.85,29.33,25.18
WAR_5959_037560_037680.rttm,92.79,14.70,13.64
WAR_5959_039300_039420.rttm,100.00,0.00,0.00
WAR_5959_041940_042060.rttm,100.00,0.00,0.00
WAR_5959_042300_042420.rttm,100.00,0.00,0.00
WAR_5959_051900_052020.rttm,100.00,0.00,0.00
WAR_5959_055800_055920.rttm,100.00,0.00,0.00
WAR_9398_003180_003300.rttm,66.12,10.30,6.81
WAR_9398_005100_005220.rttm,69.03,46.53,32.12
WAR_9398_006000_006120.rttm,86.93,45.30,39.38
WAR_9398_007680_007800.rttm,77.73,55.95,43.49
WAR_9398_009300_009420.rttm,75.58,88.91,67.20
WAR_9398_011640_011760.rttm,100.00,0.00,0.00
WAR_9398_012540_012660.rttm,100.00,0.00,0.00
WAR_9398_013500_013620.rttm,100.00,0.00,0.00
WAR_9398_018660_018780.rttm,92.52,71.27,65.94
WAR_9398_019500_019620.rttm,65.55,17.36,11.38
WAR_9398_022920_023040.rttm,43.46,1.91,0.83
WAR_9398_026700_026820.rttm,67.60,8.58,5.80
WAR_9398_027600_027720.rttm,68.25,8.82,6.02
WAR_9398_033780_033900.rttm,77.69,71.08,55.22
WAR_9398_034140_034260.rttm,75.70,90.86,68.78
WAR_9427_004380_004500.rttm,70.17,36.98,25.95
WAR_9427_008940_009060.rttm,100.00,0.00,0.00
WAR_9427_009960_010080.rttm,100.00,0.00,0.00
WAR_9427_017880_018000.rttm,78.78,4.90,3.86
WAR_9427_018240_018360.rttm,42.42,38.38,16.28
WAR_9427_021000_021120.rttm,12.37,12.05,1.49
WAR_9427_022800_022920.rttm,95.65,82.12,78.55
WAR_9427_033300_033420.rttm,89.24,27.50,24.54
WAR_9427_043260_043380.rttm,71.61,8.49,6.08
WAR_9427_045000_045120.rttm,93.36,2.71,2.53
WAR_9427_045960_046080.rttm,86.84,1.90,1.65
WAR_9427_049320_049440.rttm,100.00,0.00,0.00
WAR_9427_053340_053460.rttm,100.00,0.00,0.00
WAR_9427_056040_056160.rttm,93.77,23.92,22.43
WAR_9427_056760_056880.rttm,100.00,1.24,1.24
WAR_9755_004140_004260.rttm,100.00,0.00,0.00
WAR_9755_010980_011100.rttm,83.92,50.43,42.32
WAR_9755_013140_013260.rttm,78.96,16.30,12.87
WAR_9755_014640_014760.rttm,100.00,0.00,0.00
WAR_9755_016680_016800.rttm,100.00,0.00,0.00
WAR_9755_017160_017280.rttm,65.35,2.02,1.32
WAR_9755_019020_019140.rttm,97.22,1.44,1.40
WAR_9755_026520_026640.rttm,100.00,0.00,0.00
WAR_9755_029400_029520.rttm,47.54,0.61,0.29
WAR_9755_031080_031200.rttm,87.98,24.30,21.38
WAR_9755_035280_035400.rttm,56.42,12.78,7.21
WAR_9755_036060_036180.rttm,79.53,41.48,32.99
WAR_9755_036900_037020.rttm,58.23,18.96,11.04
WAR_9755_038340_038460.rttm,75.97,16.77,12.74
WAR_9755_038880_039000.rttm,45.28,16.94,7.67
TOTAL,45.25,24377.66,11030.54
