item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C01_20170706_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_052440_052500.rttm,100.00,0.00,5.30,,0.00,
C01_20170706_056040_056100.rttm,100.00,0.42,0.00,0.00,0.42,100.00
C01_20170718_002040_002100.rttm,129.77,4.77,2.69,56.39,3.50,73.38
C01_20170718_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_009240_009300.rttm,61.45,20.00,1.53,7.65,10.76,53.80
C01_20170718_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_016440_016500.rttm,81.70,1.53,0.36,23.53,0.89,58.17
C01_20170718_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_027240_027300.rttm,30.24,2.05,0.16,7.80,0.46,22.44
C01_20170718_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_034440_034500.rttm,157.05,1.56,0.89,57.05,1.56,100.00
C01_20170718_038040_038100.rttm,70.13,8.47,3.46,40.85,2.48,29.28
C01_20170718_041640_041700.rttm,100.00,3.75,0.00,0.00,3.75,100.00
C04_20170707_002040_002100.rttm,100.00,0.00,1.81,,0.00,
C04_20170707_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_009240_009300.rttm,261.94,2.47,4.00,161.94,2.47,100.00
C04_20170707_012840_012900.rttm,100.00,0.00,3.35,,0.00,
C04_20170707_016440_016500.rttm,100.00,0.00,6.10,,0.00,
C04_20170707_020040_020100.rttm,100.00,2.72,0.00,0.00,2.72,100.00
C04_20170707_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_027240_027300.rttm,100.00,0.00,6.97,,0.00,
C04_20170707_030840_030900.rttm,67.98,6.09,0.79,12.97,3.35,55.01
C04_20170707_034440_034500.rttm,100.00,7.93,0.00,0.00,7.93,100.00
C04_20170707_038040_038100.rttm,70.01,9.97,0.23,2.31,6.75,67.70
C04_20170707_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_002040_002100.rttm,62.66,4.66,0.42,9.01,2.50,53.65
C09_20170708_005640_005700.rttm,55.26,9.32,0.39,4.18,4.76,51.07
C09_20170708_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_012840_012900.rttm,160.22,6.31,5.35,84.79,4.76,75.44
C09_20170708_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_020040_020100.rttm,68.23,32.04,2.63,8.21,19.23,60.02
C09_20170708_023640_023700.rttm,100.00,0.00,0.73,,0.00,
C09_20170708_027240_027300.rttm,45.02,6.02,0.88,14.62,1.83,30.40
C09_20170708_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_002040_002100.rttm,440.22,1.84,7.29,396.20,0.81,44.02
C10_20170709_005640_005700.rttm,100.00,0.00,1.03,,0.00,
C10_20170709_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_012840_012900.rttm,111.25,16.18,4.77,29.48,13.23,81.77
C10_20170709_016440_016500.rttm,100.00,0.00,10.19,,0.00,
C10_20170709_020040_020100.rttm,100.00,0.00,1.45,,0.00,
C10_20170709_023640_023700.rttm,100.00,0.00,2.08,,0.00,
C10_20170709_027240_027300.rttm,134.40,3.43,2.44,71.14,2.17,63.27
C10_20170709_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_038040_038100.rttm,100.00,0.00,5.93,,0.00,
C10_20170709_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_048840_048900.rttm,0.00,0.00,0.00,,0.00,
