item,detection error rate %,total,false alarm,false alarm %,miss,miss %
WAR_9427_045000_045120.rttm,1270.13,8.06,102.40,1270.13,0.00,0.00
WAR_9427_045960_046080.rttm,3083.35,3.00,92.53,3081.09,0.07,2.26
WAR_9427_049320_049440.rttm,0.00,0.00,0.00,,0.00,
WAR_9427_053340_053460.rttm,2875.45,1.27,36.34,2859.01,0.21,16.44
WAR_9427_056040_056160.rttm,881.77,8.26,71.23,862.20,1.62,19.57
WAR_9427_056760_056880.rttm,2870.90,3.31,94.61,2861.71,0.30,9.20
WAR_9755_004140_004260.rttm,0.00,0.00,0.00,,0.00,
WAR_9755_010980_011100.rttm,576.33,1.46,7.44,508.69,0.99,67.65
WAR_9755_013140_013260.rttm,100.00,0.00,2.41,,0.00,
WAR_9755_014640_014760.rttm,0.00,0.00,0.00,,0.00,
WAR_9755_016680_016800.rttm,0.00,0.00,0.00,,0.00,
WAR_9755_017160_017280.rttm,0.00,0.00,0.00,,0.00,
WAR_9755_019020_019140.rttm,807.19,1.17,8.26,707.19,1.17,100.00
WAR_9755_026520_026640.rttm,0.00,0.00,0.00,,0.00,
WAR_9755_029400_029520.rttm,100.00,0.00,0.85,,0.00,
WAR_9755_031080_031200.rttm,100.00,5.52,0.00,0.00,5.52,100.00
WAR_9755_035280_035400.rttm,937.80,1.55,13.76,890.74,0.73,47.06
WAR_9755_036060_036180.rttm,887.06,1.73,14.20,820.16,1.16,66.90
WAR_9755_036900_037020.rttm,100.00,0.00,2.83,,0.00,
WAR_9755_038340_038460.rttm,100.00,0.00,24.87,,0.00,
WAR_9755_038880_039000.rttm,100.00,0.00,65.06,,0.00,
TOTAL,546.55,2410.85,11811.47,489.93,1365.03,56.62
