item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C09_20170708_30840.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_34440.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_38040.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_41640.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_45240.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_48840.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_52440.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_56040.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_5640.rttm,55.33,9.32,0.39,4.23,4.76,51.10
C09_20170708_9240.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_12840.rttm,111.25,16.18,4.77,29.48,13.23,81.77
C10_20170709_16440.rttm,100.00,0.00,10.19,,0.00,
C10_20170709_20040.rttm,100.00,0.00,1.45,,0.00,
C10_20170709_2040.rttm,440.03,1.84,7.29,395.98,0.81,44.05
C10_20170709_23640.rttm,100.00,0.00,2.08,,0.00,
C10_20170709_27240.rttm,134.41,3.43,2.44,71.12,2.17,63.30
C10_20170709_30840.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_34440.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_38040.rttm,100.00,0.00,5.93,,0.00,
C10_20170709_41640.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_52440.rttm,100.00,4.08,0.00,0.00,4.08,100.00
C10_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_5640.rttm,100.00,0.00,1.03,,0.00,
C10_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_12840.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_16440.rttm,100.00,0.00,13.56,,0.00,
C11_20170709_20040.rttm,100.00,0.00,2.29,,0.00,
C11_20170709_2040.rttm,117.56,18.43,17.30,93.88,4.36,23.69
C11_20170709_23640.rttm,252.88,1.16,2.67,229.94,0.27,22.94
C11_20170709_27240.rttm,295.34,5.59,13.87,248.16,2.64,47.18
C11_20170709_30840.rttm,100.00,0.00,13.73,,0.00,
C11_20170709_34440.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_38040.rttm,100.00,0.00,2.65,,0.00,
C11_20170709_41640.rttm,100.00,0.00,6.14,,0.00,
C11_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
