filename gold_CV_cum_dur gold_CV_mean gold_CV_count gold_short_CV_count gold_CNV_cum_dur gold_CNV_mean gold_CNV_count gold_short_CNV_count gold_CH_cum_dur gold_CH_mean gold_CH_count gold_CTC_count gold_CTC_count_all lena_CH_count lena_CV_count lena_CNV_count lena_short_CV_count lena_short_CNV_count lena_CH_mean lena_CV_mean lena_CNV_mean lena_CH_cum_dur lena_CV_cum_dur lena_CNV_cum_dur lena_CTC_count child_id
BER_3749_007860_007980 1.160 1.160 1 0 0.000 0.000 0 0 1.160 1.160 1 1 1 1 0 1 0 1 0.600 0.000 0.600 0.60 0.00 0.60 0 BER_3749
BER_3749_009540_009660 3.380 1.690 2 0 23.240 3.873 6 0 26.620 3.328 8 0 0 10 6 5 1 0 1.921 1.570 2.268 19.21 9.42 11.34 0 BER_3749
BER_3749_009720_009840 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 1 2 0 2 0 0.850 0.140 0.000 0.85 0.28 0.00 0 BER_3749
BER_3749_011280_011400 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3749_011640_011760 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3749_017640_017760 11.117 0.926 12 4 0.000 0.000 0 0 11.117 0.926 12 18 18 6 6 0 2 0 0.718 0.718 0.000 4.31 4.31 0.00 5 BER_3749
BER_3749_019920_020040 27.120 1.179 23 8 0.000 0.000 0 0 27.120 1.179 23 21 21 6 6 0 1 0 0.868 0.868 0.000 5.21 5.21 0.00 2 BER_3749
BER_3749_021240_021360 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3749_026400_026520 17.800 2.543 7 0 0.000 0.000 0 0 17.800 2.543 7 9 9 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3749_028920_029040 6.446 1.289 5 1 0.000 0.000 0 0 6.446 1.289 5 6 6 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3749_034680_034800 20.460 1.364 15 1 45.130 4.513 10 0 65.590 2.624 25 9 17 30 20 10 3 0 1.519 1.107 2.327 45.58 22.15 23.27 1 BER_3749
BER_3749_043560_043680 3.585 1.195 3 1 0.000 0.000 0 0 3.585 1.195 3 7 7 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3749
BER_3895_003780_003900 3.176 0.397 8 7 0.000 0.000 0 0 3.176 0.397 8 0 0 2 2 0 2 0 0.600 0.340 0.000 1.20 0.68 0.00 0 BER_3895
BER_3895_006120_006240 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3895
BER_3895_009300_009420 6.396 0.533 12 8 0.000 0.000 0 0 6.396 0.533 12 3 3 5 5 0 2 0 0.686 0.608 0.000 3.43 3.04 0.00 2 BER_3895
BER_3895_012180_012300 4.491 0.749 6 2 0.000 0.000 0 0 4.491 0.749 6 11 11 1 1 0 1 0 0.600 0.600 0.000 0.60 0.60 0.00 1 BER_3895
BER_3895_013020_013140 3.424 0.685 5 2 0.000 0.000 0 0 3.424 0.685 5 6 6 3 1 2 1 1 0.607 0.290 0.390 1.82 0.29 0.78 1 BER_3895
BER_3895_013440_013560 10.968 0.783 14 7 75.029 2.680 28 2 85.997 2.048 42 15 48 27 0 29 0 2 2.719 0.000 2.487 73.41 0.00 72.12 0 BER_3895
BER_3895_014940_015060 8.534 0.656 13 6 3.396 0.566 6 3 11.930 0.628 19 17 26 3 3 0 1 0 0.600 0.550 0.000 1.80 1.65 0.00 3 BER_3895
BER_3895_021660_021780 0.730 0.730 1 0 0.940 0.940 1 0 1.670 0.835 2 1 1 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3895
BER_3895_027120_027240 0.660 0.330 2 2 3.296 1.648 2 1 3.956 0.989 4 0 0 2 2 0 0 0 0.665 0.665 0.000 1.33 1.33 0.00 0 BER_3895
BER_3895_030120_030240 11.690 0.615 19 11 0.000 0.000 0 0 11.690 0.615 19 0 0 15 16 2 7 0 1.052 0.678 0.845 15.78 10.85 1.69 0 BER_3895
BER_3895_030480_030600 28.541 1.297 22 4 0.000 0.000 0 0 28.541 1.297 22 0 0 28 14 18 8 7 1.131 0.719 0.734 31.67 10.07 13.22 1 BER_3895
BER_3895_033060_033180 1.792 0.896 2 0 0.000 0.000 0 0 1.792 0.896 2 0 0 10 4 6 1 2 0.938 0.775 0.575 9.38 3.10 3.45 0 BER_3895
BER_3895_037560_037680 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_3895
BER_3895_043560_043680 18.957 0.790 24 13 0.000 0.000 0 0 18.957 0.790 24 23 23 17 15 3 8 0 0.811 0.660 0.760 13.78 9.90 2.28 10 BER_3895
BER_3895_047220_047340 1.263 1.263 1 0 0.000 0.000 0 0 1.263 1.263 1 0 0 8 7 1 1 0 0.760 0.711 0.110 6.08 4.98 0.11 4 BER_3895
BER_5750_004860_004980 17.135 0.902 19 10 0.000 0.000 0 0 17.135 0.902 19 4 4 9 8 3 5 1 0.819 0.375 0.530 7.37 3.00 1.59 2 BER_5750
BER_5750_006420_006540 3.380 0.845 4 1 0.000 0.000 0 0 3.380 0.845 4 5 5 2 1 1 0 0 1.000 1.000 1.000 2.00 1.00 1.00 1 BER_5750
BER_5750_008100_008220 6.272 1.045 6 1 0.000 0.000 0 0 6.272 1.045 6 10 10 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_5750_010560_010680 59.171 1.517 39 3 0.000 0.000 0 0 59.171 1.517 39 51 0 14 10 4 0 0 0.895 0.769 1.210 12.53 7.69 4.84 6 BER_5750
BER_5750_022500_022620 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_5750_027060_027180 4.196 0.839 5 2 68.322 2.628 26 1 72.518 2.339 31 9 25 26 4 24 3 2 2.297 0.637 2.326 59.71 2.55 55.83 1 BER_5750
BER_5750_029340_029460 4.601 0.460 10 8 9.311 3.104 3 0 13.912 1.070 13 0 4 15 4 11 2 1 1.235 0.527 1.229 18.52 2.11 13.52 0 BER_5750
BER_5750_029760_029880 18.108 1.065 17 3 17.307 2.885 6 0 35.415 1.540 23 4 6 10 1 10 0 2 1.113 0.830 0.938 11.13 0.83 9.38 0 BER_5750
BER_5750_030120_030240 15.082 1.885 8 0 0.000 0.000 0 0 15.082 1.885 8 9 9 5 1 4 0 1 1.002 0.850 1.040 5.01 0.85 4.16 1 BER_5750
BER_5750_030420_030540 14.355 1.025 14 5 2.926 1.463 2 1 17.281 1.080 16 0 0 4 2 2 0 1 0.827 0.955 0.610 3.31 1.91 1.22 1 BER_5750
BER_5750_034560_034680 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_5750_038520_038640 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_5750_039300_039420 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_5750_039840_039960 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_5750_040800_040920 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_5750
BER_6035_008160_008280 4.257 0.710 6 1 0.000 0.000 0 0 4.257 0.710 6 7 7 3 3 0 1 0 0.623 0.497 0.000 1.87 1.49 0.00 0 BER_6035
BER_6035_010680_010800 14.273 0.680 21 14 13.880 2.313 6 0 28.153 1.043 27 32 44 16 7 9 3 1 1.237 0.670 1.534 19.79 4.69 13.81 4 BER_6035
BER_6035_013920_014040 5.687 0.569 10 5 0.000 0.000 0 0 5.687 0.569 10 18 0 2 1 1 1 1 0.675 0.460 0.150 1.35 0.46 0.15 1 BER_6035
BER_6035_018600_018720 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_019380_019500 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_021240_021360 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_022140_022260 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_026940_027060 18.391 1.226 15 2 0.000 0.000 0 0 18.391 1.226 15 21 21 4 3 1 1 0 1.135 1.310 0.610 4.54 3.93 0.61 2 BER_6035
BER_6035_027780_027900 11.437 1.040 11 3 0.000 0.000 0 0 11.437 1.040 11 14 14 8 7 1 2 0 0.774 0.597 1.250 6.19 4.18 1.25 6 BER_6035
BER_6035_030300_030420 21.651 1.203 18 1 0.000 0.000 0 0 21.651 1.203 18 16 16 19 20 1 7 0 0.766 0.629 0.610 14.56 12.58 0.61 6 BER_6035
BER_6035_030840_030960 10.962 1.370 8 0 0.000 0.000 0 0 10.962 1.370 8 8 0 4 4 0 2 0 0.600 0.600 0.000 2.40 2.40 0.00 1 BER_6035
BER_6035_037980_038100 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_041460_041580 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_045540_045660 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_6035_049440_049560 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_6035
BER_7758_003780_003900 14.732 0.546 27 21 1.477 0.738 2 1 16.209 0.559 29 4 5 15 16 6 16 2 1.184 0.406 1.165 17.76 6.49 6.99 1 BER_7758
BER_7758_004740_004860 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 1 1 1 0 1 0 0 0.650 0.000 0.650 0.65 0.00 0.65 0 BER_7758
BER_7758_010440_010560 4.003 0.572 7 4 0.000 0.000 0 0 4.003 0.572 7 0 0 1 1 0 0 0 0.600 0.600 0.000 0.60 0.60 0.00 0 BER_7758
BER_7758_010740_010860 4.231 0.529 8 5 4.713 2.357 2 0 8.944 0.894 10 9 12 3 3 0 2 0 0.600 0.510 0.000 1.80 1.53 0.00 1 BER_7758
BER_7758_012180_012300 9.559 1.366 7 1 2.918 2.918 1 0 12.477 1.560 8 12 13 2 1 1 0 0 1.320 1.560 0.970 2.64 1.56 0.97 0 BER_7758
BER_7758_019140_019260 3.251 0.650 5 4 0.000 0.000 0 0 3.251 0.650 5 10 0 2 1 1 0 0 0.955 1.280 0.630 1.91 1.28 0.63 1 BER_7758
BER_7758_021540_021660 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 1 0 1 0 0 0.600 0.000 0.240 0.60 0.00 0.24 0 BER_7758
BER_7758_026700_026820 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_7758
BER_7758_027600_027720 0.000 0.000 0 0 0.000 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0 0.000 0.000 0.000 0.00 0.00 0.00 0 BER_7758
