"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"2927_13500_13620" 13 13.59 0.715263157894737 15 2.52 0.132631578947368 5 6
"2927_14160_14280" 13 4.27 0.474444444444444 6 2.56 0.284444444444444 3 17
"2927_25080_25200" 13 8.84 0.982222222222222 9 0 0 0 7
"2927_26160_26280" 13 0.6 0.2 1 0.38 0.126666666666667 2 3
"2927_26460_26580" 13 1.31 0.436666666666667 2 0.11 0.0366666666666667 1 4
"2927_27180_27300" 13 8.49 0.471666666666667 10 5.17 0.287222222222222 8 11
"2927_30120_30240" 13 4.26 0.5325 4 2.56 0.32 4 5
"2927_37440_37560" 13 0 0 0 0.78 0.78 1 0
"3090_10980_11100" 3 2.01 0.335 4 1.04 0.173333333333333 2 0
"3090_16320_16440" 3 2.05 0.341666666666667 4 1.08 0.18 2 1
"3090_20820_20940" 3 1 0.5 2 0 0 0 0
"3090_21120_21240" 3 3.47 0.694 5 0 0 0 1
"3090_27060_27180" 3 22.9 0.954166666666667 23 0.62 0.0258333333333333 1 5
"3090_37080_37200" 3 4.16 0.416 6 3.05 0.305 4 1
"3090_43920_44040" 3 12.1 0.672222222222222 15 1.72 0.0955555555555556 3 16
"3090_46980_47100" 3 8.1 0.675 9 2.3 0.191666666666667 3 4
"3090_47700_47820" 3 6.17 0.77125 8 0 0 0 5
"3090_48720_48840" 3 3.81 0.762 4 0.6 0.12 1 3
"3090_55920_56040" 3 26.24 0.771764705882353 21 35.54 1.04529411764706 13 15
"3486_ 8160_ 8280" 31 1.63 1.63 1 0 0 0 0
"3486_10620_10740" 31 15.9 0.722727272727273 17 6.07 0.275909090909091 5 1
"3486_22380_22500" 31 36.71 1.07970588235294 31 3.02 0.0888235294117647 3 10
"3486_26400_26520" 31 17.96 0.945263157894737 17 1.07 0.0563157894736842 2 6
"3486_27960_28080" 31 11.31 0.754 12 4.19 0.279333333333333 3 0
"3486_30660_30780" 31 8.16 0.816 5 6.01 0.601 5 0
"3486_33060_33180" 31 0.63 0.63 1 0 0 0 0
"3528_ 3060_ 3180" 6 11.14 0.53047619047619 13 4.95 0.235714285714286 8 3
"3528_ 6600_ 6720" 6 2.75 0.0916666666666667 4 43.56 1.452 26 0
"3528_ 7680_ 7800" 6 0.6 0.1 1 5.13 0.855 5 0
"3542_ 3900_ 4020" 2 1.36 1.36 1 0 0 0 1
"3542_ 4920_ 5040" 2 2.42 1.21 2 0 0 0 4
"3542_ 5220_ 5340" 2 2.81 0.468333333333333 4 0.59 0.0983333333333333 2 9
"3542_ 6060_ 6180" 2 0.9 0.45 1 1.18 0.59 1 1
"3542_ 6360_ 6480" 2 5.41 0.67625 7 0.63 0.07875 1 10
"3542_11580_11700" 2 1.1 1.1 1 0 0 0 2
"3542_15540_15660" 2 1.11 0.123333333333333 2 4.52 0.502222222222222 7 4
"3542_17220_17340" 2 2.44 1.22 2 0 0 0 0
"3542_18180_18300" 2 17.61 0.652222222222222 13 42.06 1.55777777777778 14 7
"3542_19020_19140" 2 2.58 0.516 5 0 0 0 6
"3542_20700_20820" 2 6.05 0.336111111111111 11 5.61 0.311666666666667 7 2
"3634_ 4860_ 4980" 14 0.64 0.64 1 0 0 0 0
"3634_10860_10980" 14 2.01 0.67 3 0 0 0 0
"3634_17520_17640" 14 0.6 0.15 1 1.9 0.475 3 0
"3634_33000_33120" 14 12.14 0.674444444444444 18 0 0 0 1
"3634_36120_36240" 14 2.5 0.625 4 0 0 0 5
"3749_ 4140_ 4260" 14 5.63 0.70375 4 3.1 0.3875 4 8
"3749_ 5520_ 5640" 14 0.6 0.6 1 0 0 0 2
"3749_ 7860_ 7980" 14 0 0 0 0.6 0.6 1 0
"3749_ 9540_ 9660" 14 9.42 0.942 5 11.34 1.134 5 0
"3749_17640_17760" 14 4.31 0.718333333333333 6 0 0 0 8
"3749_19920_20040" 14 5.21 0.868333333333333 6 0 0 0 2
"3749_34680_34800" 14 22.15 0.738333333333333 20 23.27 0.775666666666667 10 3
"3895_ 3780_ 3900" 8 0.32 0.32 1 0 0 0 0
"3895_ 9300_ 9420" 8 3.04 0.608 5 0 0 0 4
"3895_12180_12300" 8 0.6 0.6 1 0 0 0 1
"3895_13020_13140" 8 0.29 0.0966666666666667 1 0.78 0.26 2 3
"3895_13440_13560" 8 0 0 0 72.12 2.67111111111111 27 4
"3895_14940_15060" 8 1.65 0.55 3 0 0 0 3
"3895_30120_30240" 8 10.69 0.822307692307692 12 0.64 0.0492307692307692 1 1
"3895_30480_30600" 8 10.07 0.419583333333333 11 12.49 0.520416666666667 13 4
"3895_33060_33180" 8 3.1 0.3875 3 2.71 0.33875 4 3
"3895_43560_43680" 8 9.54 0.636 13 1.65 0.11 2 17
"3895_47220_47340" 8 4.98 0.6225 7 0.11 0.01375 1 10
"4483_ 2100_ 2220" 5 2.89 0.7225 4 0 0 0 1
"4483_ 2700_ 2820" 5 10.46 0.550526315789474 12 7.73 0.406842105263158 7 7
"4483_ 3120_ 3240" 5 1.19 0.198333333333333 2 5.59 0.931666666666667 4 2
"4483_ 4200_ 4320" 5 1.05 0.525 1 1.04 0.52 1 0
"4483_ 4560_ 4680" 5 2.52 0.36 4 1.76 0.251428571428571 3 0
"4483_ 4860_ 4980" 5 0 0 0 0.6 0.6 1 0
"4483_ 5280_ 5400" 5 9.34 0.667142857142857 7 10.67 0.762142857142857 7 0
"4483_ 5460_ 5580" 5 2.74 0.3425 4 2.1 0.2625 4 6
"4483_ 5760_ 5880" 5 1.3 0.26 2 3.73 0.746 3 5
"4483_ 6120_ 6240" 5 0 0 0 3.56 0.593333333333333 6 4
"4483_ 6240_ 6360" 5 1.05 0.175 2 1.87 0.311666666666667 4 7
"4483_ 6600_ 6720" 5 0.18 0.18 1 0 0 0 1
"4736_ 4440_ 4560" 9 0 0 0 0.89 0.445 2 1
"4736_ 5760_ 5880" 9 2.01 0.287142857142857 1 5.84 0.834285714285714 6 3
"4736_ 8940_ 9060" 9 3.64 0.606666666666667 4 1.69 0.281666666666667 2 3
"4736_ 9720_ 9840" 9 0.92 0.46 2 0 0 0 4
"4736_16920_17040" 9 11.35 0.810714285714286 11 4.16 0.297142857142857 3 9
"4736_18360_18480" 9 0.65 0.108333333333333 1 4.5 0.75 5 0
"4736_18780_18900" 9 3.53 0.235333333333333 5 6.69 0.446 10 1
"4736_20280_20400" 9 2.54 0.508 4 0.53 0.106 1 1
"4736_29520_29640" 9 0.29 0.0725 1 1.69 0.4225 3 2
"4995_ 2820_ 2940" 9 0.21 0.0525 1 0.94 0.235 2 1
"4995_ 5100_ 5220" 9 0 0 0 0.26 0.26 1 0
"4995_ 7080_ 7200" 9 8.62 1.0775 8 0 0 0 4
